Uid,Sid,Tag,Key,Time,Value,UpdateTime
833918931,851592721,daily_report,stress,1727222400,"{""max_stress"":39,""avg_stress"":34,""min_stress"":17,""stress_scale"":{""moderate"":0,""relax"":4,""mild"":64,""severe"":0}}",1727280013
833918931,851592721,daily_report,stress,1727308800,"{""max_stress"":38,""min_stress"":7,""avg_stress"":24,""stress_scale"":{""severe"":0,""moderate"":0,""relax"":73,""mild"":55}}",1727362443
833918931,851592721,daily_report,stress,1727395200,"{""max_stress"":47,""avg_stress"":25,""stress_scale"":{""moderate"":0,""relax"":63,""mild"":59,""severe"":0},""min_stress"":9}",1727453872
833918931,851592721,daily_report,stress,1727481600,"{""min_stress"":9,""avg_stress"":23,""max_stress"":46,""stress_scale"":{""severe"":0,""relax"":73,""mild"":38,""moderate"":0}}",1727511973
833918931,851592721,daily_report,stress,1727654400,"{""avg_stress"":27,""max_stress"":38,""min_stress"":12,""stress_scale"":{""severe"":0,""moderate"":0,""mild"":12,""relax"":9}}",1727706760
833918931,851592721,daily_report,stress,1727740800,"{""avg_stress"":22,""stress_scale"":{""mild"":25,""moderate"":0,""severe"":0,""relax"":62},""max_stress"":41,""min_stress"":12}",1727746370
833918931,851592721,daily_report,stress,1728172800,"{""max_stress"":40,""avg_stress"":38,""min_stress"":36,""stress_scale"":{""severe"":0,""moderate"":0,""mild"":2,""relax"":0}}",1728178885
833918931,851592721,daily_report,stress,1729209600,"{""avg_stress"":33,""max_stress"":37,""min_stress"":27,""stress_scale"":{""mild"":8,""moderate"":0,""severe"":0,""relax"":0}}",1729293721
833918931,851592721,daily_report,stress,1729296000,"{""max_stress"":36,""avg_stress"":17,""stress_scale"":{""mild"":3,""moderate"":0,""severe"":0,""relax"":70},""min_stress"":9}",1729293721
833918931,851592721,daily_report,stress,1747440000,"{""stress_scale"":{""mild"":13,""moderate"":0,""relax"":0,""severe"":0},""min_stress"":32,""max_stress"":37,""avg_stress"":35}",1748428829
833918931,851592721,daily_report,stress,1747612800,"{""stress_scale"":{""mild"":2,""moderate"":0,""severe"":0,""relax"":0},""max_stress"":37,""min_stress"":37,""avg_stress"":37}",1748428829
833918931,default,daily_report,valid_stand,1726876800,"{""count"":1}",1727016921
833918931,default,daily_report,valid_stand,1727222400,"{""count"":18}",1727278520
833918931,default,daily_report,valid_stand,1727308800,"{""count"":14}",1727366634
833918931,default,daily_report,valid_stand,1727395200,"{""count"":17}",1727453872
833918931,default,daily_report,valid_stand,1727481600,"{""count"":11}",1727564678
833918931,default,daily_report,valid_stand,1727568000,"{""count"":15}",1727651494
833918931,default,daily_report,valid_stand,1727654400,"{""count"":15}",1727739304
833918931,default,daily_report,valid_stand,1727740800,"{""count"":13}",1727824000
833918931,default,daily_report,valid_stand,1727827200,"{""count"":11}",1727886911
833918931,default,daily_report,valid_stand,1727913600,"{""count"":15}",1727999433
833918931,default,daily_report,valid_stand,1728000000,"{""count"":15}",1728089919
833918931,default,daily_report,valid_stand,1728086400,"{""count"":11}",1728170968
833918931,default,daily_report,valid_stand,1728172800,"{""count"":15}",1728256253
833918931,default,daily_report,valid_stand,1728259200,"{""count"":13}",1728344320
833918931,default,daily_report,valid_stand,1728345600,"{""count"":16}",1728431589
833918931,default,daily_report,valid_stand,1728432000,"{""count"":16}",1728520919
833918931,default,daily_report,valid_stand,1728518400,"{""count"":16}",1728603993
833918931,default,daily_report,valid_stand,1728604800,"{""count"":17}",1728689868
833918931,default,daily_report,valid_stand,1728691200,"{""count"":12}",1728775101
833918931,default,daily_report,valid_stand,1728777600,"{""count"":12}",1728862742
833918931,default,daily_report,valid_stand,1728864000,"{""count"":12}",1728947760
833918931,default,daily_report,valid_stand,1728950400,"{""count"":16}",1729034342
833918931,default,daily_report,valid_stand,1729036800,"{""count"":15}",1729122097
833918931,default,daily_report,valid_stand,1729123200,"{""count"":16}",1729180868
833918931,default,daily_report,valid_stand,1729209600,"{""count"":15}",1729293721
833918931,default,daily_report,valid_stand,1729296000,"{""count"":12}",1729384434
833918931,default,daily_report,valid_stand,1729382400,"{""count"":9}",1729469894
833918931,default,daily_report,valid_stand,1729468800,"{""count"":15}",1729553978
833918931,default,daily_report,valid_stand,1729555200,"{""count"":16}",1729613621
833918931,default,daily_report,valid_stand,1729641600,"{""count"":16}",1729738396
833918931,default,daily_report,valid_stand,1729728000,"{""count"":14}",1729813206
833918931,default,daily_report,valid_stand,1729814400,"{""count"":16}",1729873818
833918931,default,daily_report,valid_stand,1729900800,"{""count"":9}",1729988681
833918931,default,daily_report,valid_stand,1729987200,"{""count"":13}",1730072501
833918931,default,daily_report,valid_stand,1730073600,"{""count"":16}",1730157613
833918931,default,daily_report,valid_stand,1730160000,"{""count"":16}",1730245676
833918931,default,daily_report,valid_stand,1730246400,"{""count"":15}",1730337707
833918931,default,daily_report,valid_stand,1730332800,"{""count"":17}",1730416644
833918931,default,daily_report,valid_stand,1730419200,"{""count"":16}",1730507192
833918931,default,daily_report,valid_stand,1730505600,"{""count"":10}",1730616834
833918931,default,daily_report,valid_stand,1730592000,"{""count"":10}",1730676023
833918931,default,daily_report,valid_stand,1730678400,"{""count"":10}",1730738585
833918931,default,daily_report,valid_stand,1730764800,"{""count"":18}",1730850052
833918931,default,daily_report,valid_stand,1730851200,"{""count"":16}",1730935310
833918931,default,daily_report,valid_stand,1730937600,"{""count"":17}",1731021498
833918931,default,daily_report,valid_stand,1731024000,"{""count"":14}",1731082333
833918931,default,daily_report,valid_stand,1731110400,"{""count"":7}",1731203811
833918931,default,daily_report,valid_stand,1731196800,"{""count"":9}",1731313761
833918931,default,daily_report,valid_stand,1731283200,"{""count"":17}",1731370572
833918931,default,daily_report,valid_stand,1731369600,"{""count"":16}",1731453788
833918931,default,daily_report,valid_stand,1731456000,"{""count"":14}",1731540044
833918931,default,daily_report,valid_stand,1731542400,"{""count"":16}",1731626269
833918931,default,daily_report,valid_stand,1731628800,"{""count"":14}",1731690325
833918931,default,daily_report,valid_stand,1731715200,"{""count"":9}",1731774920
833918931,default,daily_report,valid_stand,1731801600,"{""count"":10}",1731861436
833918931,default,daily_report,valid_stand,1731888000,"{""count"":15}",1731949121
833918931,default,daily_report,valid_stand,1731974400,"{""count"":16}",1732032053
833918931,default,daily_report,valid_stand,1732060800,"{""count"":15}",1732119234
833918931,default,daily_report,valid_stand,1732147200,"{""count"":16}",1732207865
833918931,default,daily_report,valid_stand,1732233600,"{""count"":14}",1732299690
833918931,default,daily_report,valid_stand,1732320000,"{""count"":10}",1732421922
833918931,default,daily_report,valid_stand,1732406400,"{""count"":13}",1732491745
833918931,default,daily_report,valid_stand,1732492800,"{""count"":12}",1732582548
833918931,default,daily_report,valid_stand,1732579200,"{""count"":15}",1732663421
833918931,default,daily_report,valid_stand,1732665600,"{""count"":17}",1732752839
833918931,default,daily_report,valid_stand,1732752000,"{""count"":16}",1732836550
833918931,default,daily_report,valid_stand,1732838400,"{""count"":15}",1732931078
833918931,default,daily_report,valid_stand,1732924800,"{""count"":11}",1733068946
833918931,default,daily_report,valid_stand,1733011200,"{""count"":11}",1733068946
833918931,default,daily_report,valid_stand,1733097600,"{""count"":15}",1733182052
833918931,default,daily_report,valid_stand,1733184000,"{""count"":16}",1733244292
833918931,default,daily_report,valid_stand,1733270400,"{""count"":17}",1733355485
833918931,default,daily_report,valid_stand,1733356800,"{""count"":16}",1733441303
833918931,default,daily_report,valid_stand,1733443200,"{""count"":16}",1733536287
833918931,default,daily_report,valid_stand,1733529600,"{""count"":9}",1733719643
833918931,default,daily_report,valid_stand,1733616000,"{""count"":8}",1733719643
833918931,default,daily_report,valid_stand,1733702400,"{""count"":15}",1733781136
833918931,default,daily_report,valid_stand,1733788800,"{""count"":18}",1733854374
